name,email,date_of_birth_orig,mobile_no_orig,first_name,last_name,date_of_birth,mobile_no,above_18
Emily Mitchell,Emily_Mitchell@white-garrison.com,1972/04/17,316377,Emily,Mitchell,19720417,316377,True
Lauren Rodriguez,Lauren_Rodriguez@delgado.info,1978-12-30,7323485,Lauren,Rodriguez,19781230,7323485,True
Tony Norton,Tony_Norton@shepherd.com,1951/12/10,33876,Tony,Norton,19511210,33876,True
Jacqueline Choi,Jacqueline_Choi@lynn.com,16-03-1995,67741,Jacqueline,Choi,19950316,67741,True
Andrew Mclaughlin,Andrew_Mclaughlin@fitzpatrick-lucas.com,1973/05/14,66417719,Andrew,Mclaughlin,19730514,66417719,True
Larry Livingston,Larry_Livingston@cook.info,25-04-2016,3239790,Larry,Livingston,20160425,3239790,False
Caitlin Ryan,Caitlin_Ryan@smith-mitchell.biz,04/06/1956,304605,Caitlin,Ryan,19560406,304605,True
Crystal Harris,Crystal_Harris@reyes.com,2013/12/19,790029,Crystal,Harris,20131219,790029,False
Joseph Marshall,Joseph_Marshall@scott.com,1965-05-02,39856,Joseph,Marshall,19650502,39856,True
Brendan Smith,Brendan_Smith@williams.com,1958/05/16,67839775,Brendan,Smith,19580516,67839775,True
Amy Wilson,Amy_Wilson@cortez.net,04/12/1974,6439 2323,Amy,Wilson,19740412,6439 2323,True
David Clark,David_Clark@fleming.com,08/01/1985,4483 4223,David,Clark,19850801,4483 4223,True
Terri Pace,Terri_Pace@griffin.com,1966-05-21,58881,Terri,Pace,19660521,58881,True
Erika Joseph,Erika_Joseph@romero.com,03/03/1981,5107 5039,Erika,Joseph,19810303,5107 5039,True
Jessica Brown,Jessica_Brown@perez.com,01/15/2007,8623035,Jessica,Brown,20070115,8623035,False
Chase Young,Chase_Young@miller.com,2016/02/19,512313,Chase,Young,20160219,512313,False
Mitchell Cook,Mitchell_Cook@henson.com,2005/11/21,481893,Mitchell,Cook,20051121,481893,False
Paul Allen,Paul_Allen@jacobs-walker.info,1968-11-10,44110375,Paul,Allen,19681110,44110375,True
Adam Morales,Adam_Morales@simpson-velazquez.info,04-04-1991,12197423,Adam,Morales,19910404,12197423,True
Jeffrey Hernandez,Jeffrey_Hernandez@mcdaniel.com,1989/12/31,76263607,Jeffrey,Hernandez,19891231,76263607,True
Melinda Hamilton,Melinda_Hamilton@martinez-norris.com,2003/11/03,1252406,Melinda,Hamilton,20031103,1252406,True
Michael Miller,Michael_Miller@taylor-moore.com,20-05-1964,17581687,Michael,Miller,19640520,17581687,True
Randall Scott,Randall_Scott@hernandez.biz,09/03/1971,9839 9307,Randall,Scott,19710903,9839 9307,True
Pamela Allison,Pamela_Allison@garcia.com,06-01-1965,4971100,Pamela,Allison,19650601,4971100,True
Cynthia Harrington,Cynthia_Harrington@adams.info,07/24/1979,4887 9875,Cynthia,Harrington,19790724,4887 9875,True
Heidi Brown,Heidi_Brown@molina.com,1990/12/24,320787,Heidi,Brown,19901224,320787,True
Kathryn Graham,Kathryn_Graham@wright.com,1984/09/06,776895,Kathryn,Graham,19840906,776895,True
Samantha Strickland,Samantha_Strickland@edwards.net,2011/07/26,3009630,Samantha,Strickland,20110726,3009630,False
Kimberly Gilbert,Kimberly_Gilbert@huff-grant.net,21-06-1992,20011,Kimberly,Gilbert,19920621,20011,True
Laura King,Laura_King@allen.info,10/14/2013,49261,Laura,King,20131014,49261,False
Janet Perez,Janet_Perez@trevino.com,2013-05-08,70551,Janet,Perez,20130508,70551,False
George Hunt,George_Hunt@evans.com,10/25/1970,704277,George,Hunt,19701025,704277,True
Randy Taylor,Randy_Taylor@butler-walker.biz,24-09-1987,1290241,Randy,Taylor,19870924,1290241,True
Theresa Newman,Theresa_Newman@perry-scott.com,1994-11-29,36575799,Theresa,Newman,19941129,36575799,True
Mark Hensley,Mark_Hensley@newton.net,08-11-1991,397449,Mark,Hensley,19910811,397449,True
Elizabeth Woodard,Elizabeth_Woodard@wilson.org,1997-12-11,87081,Elizabeth,Woodard,19971211,87081,True
Amanda Snow,Amanda_Snow@bryan-andrews.com,20-12-1956,525699,Amanda,Snow,19561220,525699,True
Colton Porter,Colton_Porter@serrano-woods.org,1984/08/01,6956125,Colton,Porter,19840801,6956125,True
Barbara Aguilar,Barbara_Aguilar@jordan.com,09/18/1985,736605,Barbara,Aguilar,19850918,736605,True
Michael Brady,Michael_Brady@miller.biz,13-01-1983,56592895,Michael,Brady,19830113,56592895,True
Donna Little,Donna_Little@taylor.com,11/16/1991,322215,Donna,Little,19911116,322215,True
Kathleen Ramirez,Kathleen_Ramirez@banks-wright.com,08/29/1955,4035 1711,Kathleen,Ramirez,19550829,4035 1711,True
Caitlin Espinoza,Caitlin_Espinoza@koch-thompson.com,1987-06-02,3313605,Caitlin,Espinoza,19870602,3313605,True
Michael Mccarthy Jr.,Michael_Mccarthy@estrada.com,1950/08/26,7283109,Michael,Mccarthy Jr.,19500826,7283109,True
Janet Choi MD,Janet_Choi@neal.com,1986/07/18,66675695,Janet,Choi MD,19860718,66675695,True
Michael Moore,Michael_Moore@keller.org,1968/10/25,42831,Michael,Moore,19681025,42831,True
Brian Little,Brian_Little@pierce.biz,12/22/1972,5471495,Brian,Little,19721222,5471495,True
Mr. Robert Davis MD,Robert_Davis@miller.com,01-06-1986,36886,Mr. Robert,Davis MD,19860106,36886,True
Miranda Phillips,Miranda_Phillips@riley.info,11/01/1994,251577,Miranda,Phillips,19941101,251577,True
Jonathan Garrison,Jonathan_Garrison@hernandez.com,08/01/1983,625935,Jonathan,Garrison,19830801,625935,True
Anthony Guerrero,Anthony_Guerrero@johnson.com,1985/06/02,4294158,Anthony,Guerrero,19850602,4294158,True
Kenneth Bryant,Kenneth_Bryant@matthews.info,12/26/1979,701211,Kenneth,Bryant,19791226,701211,True
Amy Brown,Amy_Brown@simon.org,2010/01/26,41431,Amy,Brown,20100126,41431,False
Robert Morris,Robert_Morris@miller-moore.net,1988/09/04,4670555,Robert,Morris,19880904,4670555,True
Carrie Lyons,Carrie_Lyons@rodriguez-cohen.org,2017/10/25,31306,Carrie,Lyons,20171025,31306,False
Laura Graves,Laura_Graves@brock.info,05-01-1958,64331,Laura,Graves,19580501,64331,True
Jaime Lucas,Jaime_Lucas@robinson-fisher.info,31-10-1967,69701,Jaime,Lucas,19671031,69701,True
Jordan Pearson,Jordan_Pearson@campbell-hamilton.com,1960/10/05,8802151,Jordan,Pearson,19601005,8802151,True
Nicholas Martinez,Nicholas_Martinez@white.net,11/26/1951,2031674,Nicholas,Martinez,19511126,2031674,True
Mary Padilla,Mary_Padilla@young-garcia.org,05/03/1957,637371,Mary,Padilla,19570503,637371,True
Scott Chapman,Scott_Chapman@davidson.net,06-02-1958,806871,Scott,Chapman,19580602,806871,True
Pamela Bridges,Pamela_Bridges@marshall-collins.org,1970/11/10,61041,Pamela,Bridges,19701110,61041,True
Wanda Collins,Wanda_Collins@parker-tate.com,1971/01/25,522993,Wanda,Collins,19710125,522993,True
Mark Bender,Mark_Bender@oneal-wilkins.com,1969-09-11,27354911,Mark,Bender,19690911,27354911,True
Amanda Norris,Amanda_Norris@perez-oconnell.org,12-01-2002,2120665,Amanda,Norris,20021201,2120665,True
Abigail Brown,Abigail_Brown@jones-underwood.com,08-10-1980,15726143,Abigail,Brown,19800810,15726143,True
Brian Pham,Brian_Pham@allen.info,1986/01/27,35052023,Brian,Pham,19860127,35052023,True
Jamie Young,Jamie_Young@bell.com,02-11-1958,429465,Jamie,Young,19580211,429465,True
Brian Peterson,Brian_Peterson@brown-martinez.com,05-04-1962,91301,Brian,Peterson,19620504,91301,True
Lisa Warren,Lisa_Warren@watts.com,06-04-2007,139875,Lisa,Warren,20070604,139875,False
Lacey Rosales,Lacey_Rosales@bennett-singh.com,19-10-2010,314373,Lacey,Rosales,20101019,314373,False
Timothy Nguyen,Timothy_Nguyen@johnson-jacobs.biz,2001/11/29,68379127,Timothy,Nguyen,20011129,68379127,True
Daniel Harper,Daniel_Harper@huang-moody.org,1966/04/02,932085,Daniel,Harper,19660402,932085,True
Barbara Smith,Barbara_Smith@aguirre.biz,1994/07/23,488889,Barbara,Smith,19940723,488889,True
Holly Brown,Holly_Brown@graham.com,2015/08/17,1129115,Holly,Brown,20150817,1129115,False
Wesley Cunningham,Wesley_Cunningham@booth-simmons.com,12/15/2008,3895 9971,Wesley,Cunningham,20081215,3895 9971,False
Rachel Mason,Rachel_Mason@kelly.com,1950-07-23,71851,Rachel,Mason,19500723,71851,True
Alicia Case,Alicia_Case@moore.info,1996-08-10,56511,Alicia,Case,19960810,56511,True
Thomas Wright,Thomas_Wright@pacheco.com,1960-07-29,86461,Thomas,Wright,19600729,86461,True
Antonio Dominguez,Antonio_Dominguez@nichols.com,15-11-1980,75861007,Antonio,Dominguez,19801115,75861007,True
Kelsey Collins,Kelsey_Collins@carter.org,2010/01/07,82451,Kelsey,Collins,20100107,82451,False
Michael Hodges,Michael_Hodges@foster.com,10/07/1978,5221231,Michael,Hodges,19781007,5221231,True
Elizabeth Gutierrez,Elizabeth_Gutierrez@rhodes.biz,02/09/2000,866985,Elizabeth,Gutierrez,20000209,866985,True
Scott Brown,Scott_Brown@scott.com,1950-01-26,84341,Scott,Brown,19500126,84341,True
Melvin Wiley,Melvin_Wiley@simpson-schneider.info,05-07-1970,1957019,Melvin,Wiley,19700507,1957019,True
Stephanie Haas,Stephanie_Haas@smith.com,1980-08-02,94971,Stephanie,Haas,19800802,94971,True
Lisa Medina,Lisa_Medina@harris.com,1956-06-16,81656,Lisa,Medina,19560616,81656,True
Susan Lane,Susan_Lane@archer-warner.biz,2012/12/27,22551711,Susan,Lane,20121227,22551711,False
William Tran,William_Tran@williams.com,01-11-1956,7430774,William,Tran,19560111,7430774,True
Tony Morris,Tony_Morris@davis.com,1970-08-05,33280551,Tony,Morris,19700805,33280551,True
Randy Carlson,Randy_Carlson@rivera.com,30-05-1955,51211679,Randy,Carlson,19550530,51211679,True
Savannah Holland,Savannah_Holland@williams-kelly.com,2004-07-04,79359575,Savannah,Holland,20040704,79359575,False
Crystal Vega,Crystal_Vega@bradford.com,27-06-1954,99496,Crystal,Vega,19540627,99496,True
Erika Espinoza,Erika_Espinoza@mitchell.com,08/24/1997,766575,Erika,Espinoza,19970824,766575,True
Deborah Jones,Deborah_Jones@brown.info,06/07/1990,337743,Deborah,Jones,19900607,337743,True
Kirsten Williams,Kirsten_Williams@mitchell.info,12/04/1951,2819 3351,Kirsten,Williams,19511204,2819 3351,True
Charles Patel,Charles_Patel@rivas.biz,1965-01-13,119961,Charles,Patel,19650113,119961,True
Misty Ramirez,Misty_Ramirez@waters-turner.org,1976-01-07,246471,Misty,Ramirez,19760107,246471,True
Angela West,Angela_West@anderson-fitzgerald.com,1981-04-27,59397207,Angela,West,19810427,59397207,True
Mark Bowman,Mark_Bowman@lam-valentine.com,05/31/1982,22876,Mark,Bowman,19820531,22876,True
Christina Orr,Christina_Orr@marquez.com,2004-12-14,9889090,Christina,Orr,20041214,9889090,False
Brian Bridges,Brian_Bridges@hobbs.biz,2013-08-12,4455655,Brian,Bridges,20130812,4455655,False
Mike Hale,Mike_Hale@hall.net,08-11-1984,144735,Mike,Hale,19840811,144735,True
Amanda Allen,Amanda_Allen@cross-johnson.com,1978-04-17,420549,Amanda,Allen,19780417,420549,True
Robert Hernandez,Robert_Hernandez@bush.com,26-02-1995,3890454,Robert,Hernandez,19950226,3890454,True
Brandon Bernard,Brandon_Bernard@pierce.com,1962/04/17,392397,Brandon,Bernard,19620417,392397,True
Dan Young,Dan_Young@smith.com,23-09-1998,1156877,Dan,Young,19980923,1156877,True
Jonathan Nguyen,Jonathan_Nguyen@cooley.com,2009/10/02,8036036,Jonathan,Nguyen,20091002,8036036,False
Mary Sandoval,Mary_Sandoval@gomez-baker.com,1990-05-05,728007,Mary,Sandoval,19900505,728007,True
Bryan Clark,Bryan_Clark@walsh-miles.com,22-01-1950,60216,Bryan,Clark,19500122,60216,True
Tina Weaver,Tina_Weaver@hoffman-clarke.info,25-03-1987,47969919,Tina,Weaver,19870325,47969919,True
Joseph Huynh,Joseph_Huynh@meyer.com,15-03-1965,6006071,Joseph,Huynh,19650315,6006071,True
Kelly Meyer,Kelly_Meyer@bennett.com,07/30/2015,49126,Kelly,Meyer,20150730,49126,False
Mary Clark,Mary_Clark@kennedy-barker.net,28-01-1950,130575,Mary,Clark,19500128,130575,True
Sherry Lyons,Sherry_Lyons@carson-copeland.com,09/02/1998,4767 2835,Sherry,Lyons,19980902,4767 2835,True
Jonathan Adams,Jonathan_Adams@brown-castro.info,1991-01-29,46051,Jonathan,Adams,19910129,46051,True
Jeremy Henderson,Jeremy_Henderson@stanton.net,1993-01-30,29156,Jeremy,Henderson,19930130,29156,True
Edward King,Edward_King@bright.info,1955-12-18,87986,Edward,King,19551218,87986,True
Jennifer Butler,Jennifer_Butler@arellano-morris.com,11/18/1951,1607 9075,Jennifer,Butler,19511118,1607 9075,True
Michael Taylor,Michael_Taylor@hernandez-lamb.com,02/08/2014,321063,Michael,Taylor,20140208,321063,False
James House,James_House@chavez.biz,16-05-1963,487995,James,House,19630516,487995,True
Pamela Kelley,Pamela_Kelley@mooney-williams.org,1982/11/25,323007,Pamela,Kelley,19821125,323007,True
Kevin Peters,Kevin_Peters@edwards.com,06-02-1967,28855487,Kevin,Peters,19670602,28855487,True
Carolyn Sanchez,Carolyn_Sanchez@cunningham.net,28-11-2011,60183815,Carolyn,Sanchez,20111128,60183815,False
Jacqueline Johnson,Jacqueline_Johnson@johnston.com,2007/10/14,20215991,Jacqueline,Johnson,20071014,20215991,False
Aaron Gardner,Aaron_Gardner@briggs.com,27-01-2008,2176889,Aaron,Gardner,20080127,2176889,False
Randall Kemp,Randall_Kemp@jenkins.net,24-09-1997,226959,Randall,Kemp,19970924,226959,True
Kristen Flores,Kristen_Flores@watkins.com,1995/03/28,756093,Kristen,Flores,19950328,756093,True
Robert Wilson,Robert_Wilson@webster-cooper.com,1958-08-18,371427,Robert,Wilson,19580818,371427,True
John Taylor,John_Taylor@jones.biz,07/25/1982,93261,John,Taylor,19820725,93261,True
Misty Mckinney,Misty_Mckinney@zimmerman.net,1987-04-26,587367,Misty,Mckinney,19870426,587367,True
Craig Smith,Craig_Smith@anderson.com,03/23/1978,33481,Craig,Smith,19780323,33481,True
Brianna Long,Brianna_Long@booth.net,1994/04/03,88226,Brianna,Long,19940403,88226,True
Ms. Hailey Fisher,Hailey_Fisher@diaz.com,2018-09-25,258189,Ms. Hailey,Fisher,20180925,258189,False
Elizabeth Cantrell,Elizabeth_Cantrell@hutchinson.com,03-05-1951,78986,Elizabeth,Cantrell,19510305,78986,True
Jennifer Ortiz,Jennifer_Ortiz@waters-cervantes.info,07/07/1981,2347 6599,Jennifer,Ortiz,19810707,2347 6599,True
Benjamin Conway,Benjamin_Conway@burton-paul.com,1955/12/28,23338319,Benjamin,Conway,19551228,23338319,True
Dr. Charles Rose,Charles_Rose@walker.com,1955/11/20,4900995,Dr. Charles,Rose,19551120,4900995,True
Noah Mccarty,Noah_Mccarty@rios-oneill.com,06/20/1965,6471 8427,Noah,Mccarty,19650620,6471 8427,True
James Casey,James_Casey@morrison.info,1986-07-28,1168350,James,Casey,19860728,1168350,True
Hector Stanton,Hector_Stanton@baxter-rios.biz,06/17/1963,78586,Hector,Stanton,19630617,78586,True
Dustin Watkins,Dustin_Watkins@coleman.com,06/09/2005,737823,Dustin,Watkins,20050609,737823,False
Chloe Pham,Chloe_Pham@porter.info,05/14/1957,9514254,Chloe,Pham,19570514,9514254,True
Jordan White,Jordan_White@sandoval.net,15-09-1988,557379,Jordan,White,19880915,557379,True
Melissa Reese,Melissa_Reese@phillips.com,1966/12/20,22241,Melissa,Reese,19661220,22241,True
Mr. Gary Taylor,Gary_Taylor@donaldson.com,01/31/1994,49861,Mr. Gary,Taylor,19940131,49861,True
Michele West,Michele_West@francis-stewart.info,05/05/1964,594297,Michele,West,19640505,594297,True
Jennifer Baker,Jennifer_Baker@mckinney.net,10-01-1960,988317,Jennifer,Baker,19601001,988317,True
Andre Brown,Andre_Brown@reed.biz,1990-02-06,320577,Andre,Brown,19900206,320577,True
Joseph Murphy,Joseph_Murphy@williams.com,07/09/2011,21126,Joseph,Murphy,20110709,21126,False
Andrew Stewart,Andrew_Stewart@wong.com,12-02-1951,19799879,Andrew,Stewart,19511202,19799879,True
Brenda Jones,Brenda_Jones@lang.com,1955/08/04,62608823,Brenda,Jones,19550804,62608823,True
Cole Harris,Cole_Harris@valdez.org,16-02-1962,7598809,Cole,Harris,19620216,7598809,True
Kimberly Levy,Kimberly_Levy@montoya.org,13-10-1958,935493,Kimberly,Levy,19581013,935493,True
Jerry Shannon,Jerry_Shannon@sweeney-gibbs.com,05/05/1951,8623 9787,Jerry,Shannon,19510505,8623 9787,True
Blake Brown,Blake_Brown@george-kelly.net,06/15/1957,3483 5327,Blake,Brown,19570615,3483 5327,True
Brianna Ford,Brianna_Ford@jenkins.com,09-12-2004,419265,Brianna,Ford,20040912,419265,False
Bryan Santiago,Bryan_Santiago@schneider-grimes.com,1988-01-23,713793,Bryan,Santiago,19880123,713793,True
Michelle Walker,Michelle_Walker@zavala-frey.com,1987/08/25,289053,Michelle,Walker,19870825,289053,True
David Lewis,David_Lewis@davis-anderson.com,1974/03/06,43571,David,Lewis,19740306,43571,True
Molly Henry,Molly_Henry@guzman.com,1974-07-23,8235536,Molly,Henry,19740723,8235536,True
Michaela Sanchez,Michaela_Sanchez@fernandez.net,23-07-1964,483513,Michaela,Sanchez,19640723,483513,True
Samantha Ramirez,Samantha_Ramirez@garcia-gay.com,02/09/1954,5432722,Samantha,Ramirez,19540209,5432722,True
Matthew Kramer DDS,Matthew_Kramer@martinez.com,08-09-1980,3669289,Matthew,Kramer DDS,19800809,3669289,True
Stephanie Marquez,Stephanie_Marquez@le.info,05/29/2007,643491,Stephanie,Marquez,20070529,643491,False
Maria Short,Maria_Short@le.com,1989-05-01,37876,Maria,Short,19890501,37876,True
Sandra Hawkins,Sandra_Hawkins@wilson-little.com,04/19/2012,1614656,Sandra,Hawkins,20120419,1614656,False
James Copeland,James_Copeland@steele.com,2016/04/24,5070129,James,Copeland,20160424,5070129,False
Roberto Chapman,Roberto_Chapman@anderson.com,12/14/2011,62741,Roberto,Chapman,20111214,62741,False
Douglas Murphy,Douglas_Murphy@weaver.net,01/12/2002,620229,Douglas,Murphy,20020112,620229,True
Lori Chavez DDS,Lori_Chavez@daniel.com,1954-09-30,96146,Lori,Chavez DDS,19540930,96146,True
Cynthia Weaver,Cynthia_Weaver@smith-castillo.net,08/08/1959,387297,Cynthia,Weaver,19590808,387297,True
Christopher Charles,Christopher_Charles@sawyer.biz,1957/08/24,59306,Christopher,Charles,19570824,59306,True
Joshua Thompson,Joshua_Thompson@wright.biz,01/12/1999,36761,Joshua,Thompson,19990112,36761,True
Michael Bowers,Michael_Bowers@klein-barry.com,09/03/2002,7007 4031,Michael,Bowers,20020903,7007 4031,True
Kimberly Torres,Kimberly_Torres@lee.biz,23-06-1985,93336,Kimberly,Torres,19850623,93336,True
Scott Webb,Scott_Webb@hurst.com,2017-08-02,732903,Scott,Webb,20170802,732903,False
Karen Luna,Karen_Luna@miller-lopez.com,30-04-1959,143907,Karen,Luna,19590430,143907,True
Shane Bradley,Shane_Bradley@pratt-roberts.info,05-10-1976,32566207,Shane,Bradley,19760510,32566207,True
Shelly Long,Shelly_Long@sutton.org,04-05-2010,79230711,Shelly,Long,20100405,79230711,False
Russell Medina,Russell_Medina@smith-bell.info,05/08/1996,9904399,Russell,Medina,19960508,9904399,True
Anne Baker,Anne_Baker@buckley-curtis.net,1959-10-03,912489,Anne,Baker,19591003,912489,True
Christopher Jones,Christopher_Jones@wilson.net,28-05-2009,99596183,Christopher,Jones,20090528,99596183,False
Kelly Espinoza,Kelly_Espinoza@davidson.com,30-03-1953,9252664,Kelly,Espinoza,19530330,9252664,True
Rachel Martinez,Rachel_Martinez@goodwin.org,02/02/2016,1323 2735,Rachel,Martinez,20160202,1323 2735,False
Elizabeth Bailey,Elizabeth_Bailey@stephenson-arnold.com,1963-01-01,20218071,Elizabeth,Bailey,19630101,20218071,True
Lori Reese,Lori_Reese@terry.info,1966-01-17,66811,Lori,Reese,19660117,66811,True
James Cruz,James_Cruz@bender-harris.com,07/30/1950,1875 8595,James,Cruz,19500730,1875 8595,True
Kelly Levy,Kelly_Levy@barajas.com,08-05-1994,74468255,Kelly,Levy,19940805,74468255,True
Austin Roth,Austin_Roth@ramsey.com,2014-02-19,4974327,Austin,Roth,20140219,4974327,False
Timothy Edwards,Timothy_Edwards@wheeler.net,25-11-1950,61776,Timothy,Edwards,19501125,61776,True
Michael Knight,Michael_Knight@blanchard.com,07-11-1972,64146,Michael,Knight,19720711,64146,True
Nicolas Ray,Nicolas_Ray@lynch-richards.net,2007-01-15,97346,Nicolas,Ray,20070115,97346,False
Tracy Butler,Tracy_Butler@allison.info,02/05/1957,4543 5383,Tracy,Butler,19570205,4543 5383,True
Brian Novak,Brian_Novak@ross.com,05-02-1995,4886141,Brian,Novak,19950502,4886141,True
Thomas Burton,Thomas_Burton@dunn-avery.net,1975-04-19,14613071,Thomas,Burton,19750419,14613071,True
Mario Humphrey,Mario_Humphrey@short.com,1950-07-07,6814270,Mario,Humphrey,19500707,6814270,True
Kelly Mcdonald,Kelly_Mcdonald@carr.com,2004-06-06,255639,Kelly,Mcdonald,20040606,255639,False
Melinda Smith,Melinda_Smith@castro-parker.info,1997-10-24,6609520,Melinda,Smith,19971024,6609520,True
Emily Sanchez,Emily_Sanchez@dillon-chavez.org,03-06-1987,252231,Emily,Sanchez,19870306,252231,True
Dana Vega,Dana_Vega@jones.info,17-08-1953,8481824,Dana,Vega,19530817,8481824,True
Jessica Cortez,Jessica_Cortez@newton.biz,1962/10/24,5671478,Jessica,Cortez,19621024,5671478,True
Kelly Olson,Kelly_Olson@phillips-clay.com,1965/07/31,8275268,Kelly,Olson,19650731,8275268,True
Timothy Gallegos Jr.,Timothy_Gallegos@jenkins-murphy.net,06/30/1955,6378639,Timothy,Gallegos Jr.,19550630,6378639,True
Jonathan Cummings,Jonathan_Cummings@baker-harding.org,03-03-1963,4021585,Jonathan,Cummings,19630303,4021585,True
Steven Johnson,Steven_Johnson@hoffman-frazier.biz,05-10-2008,32111095,Steven,Johnson,20080510,32111095,False
Christopher Sullivan,Christopher_Sullivan@clayton.org,15-05-2007,808959,Christopher,Sullivan,20070515,808959,False
Kimberly Garcia,Kimberly_Garcia@tapia.com,08/01/1963,4139 7407,Kimberly,Garcia,19630801,4139 7407,True
Michael Nguyen,Michael_Nguyen@miller.biz,1995-02-02,678231,Michael,Nguyen,19950202,678231,True
Kevin Foster,Kevin_Foster@garcia.com,1999/02/02,994545,Kevin,Foster,19990202,994545,True
Jennifer Preston,Jennifer_Preston@armstrong-harris.com,10-12-1991,74641,Jennifer,Preston,19911012,74641,True
Mary Chapman,Mary_Chapman@espinoza.info,1977-04-16,5702362,Mary,Chapman,19770416,5702362,True
Marc Collins,Marc_Collins@richardson.com,1959/03/16,26381,Marc,Collins,19590316,26381,True
Amber Sims,Amber_Sims@murphy.biz,1973-03-27,43947559,Amber,Sims,19730327,43947559,True
Shawn Kennedy,Shawn_Kennedy@hanson.net,24-04-2007,3258991,Shawn,Kennedy,20070424,3258991,False
Christine Farmer,Christine_Farmer@obrien.biz,23-09-1955,9091405,Christine,Farmer,19550923,9091405,True
Pam Martinez,Pam_Martinez@stephens.com,02-04-1965,61196,Pam,Martinez,19650204,61196,True
Lisa Thompson,Lisa_Thompson@howard-caldwell.com,2015/01/02,974673,Lisa,Thompson,20150102,974673,False
John Bennett,John_Bennett@leon.com,2015-02-26,86701,John,Bennett,20150226,86701,False
Ronald Dixon,Ronald_Dixon@hale-kirk.com,05/07/1992,59611,Ronald,Dixon,19920507,59611,True
Paul Peterson,Paul_Peterson@bullock.com,2002/12/25,59148863,Paul,Peterson,20021225,59148863,True
Carrie Jones,Carrie_Jones@fox.biz,1956/10/17,9685145,Carrie,Jones,19561017,9685145,True
Tiffany Carrillo,Tiffany_Carrillo@hoover-brown.org,1993-05-16,72843351,Tiffany,Carrillo,19930516,72843351,True
Katie Hanna,Katie_Hanna@chavez.com,06/28/1984,632367,Katie,Hanna,19840628,632367,True
Seth Villanueva,Seth_Villanueva@mccoy-west.info,1969/05/02,852117,Seth,Villanueva,19690502,852117,True
Donna Lewis,Donna_Lewis@myers-dominguez.org,1980-04-22,86779671,Donna,Lewis,19800422,86779671,True
Tina Hunter,Tina_Hunter@peterson.info,1968/08/01,495393,Tina,Hunter,19680801,495393,True
Sheri Beck,Sheri_Beck@lewis.info,21-01-1966,801807,Sheri,Beck,19660121,801807,True
Kristen Hall,Kristen_Hall@clay.com,1981/06/02,678123,Kristen,Hall,19810602,678123,True
Douglas Morgan,Douglas_Morgan@fritz-duncan.biz,1952-03-20,51636655,Douglas,Morgan,19520320,51636655,True
Zachary Miller,Zachary_Miller@shelton.com,1977-03-08,69166,Zachary,Miller,19770308,69166,True
Teresa Collins,Teresa_Collins@reed.net,1950/01/17,41601,Teresa,Collins,19500117,41601,True
Devon Roberts,Devon_Roberts@lewis.biz,2003-10-30,81450999,Devon,Roberts,20031030,81450999,True
Amy Gray,Amy_Gray@dunlap.org,1965-10-17,271761,Amy,Gray,19651017,271761,True
Tracy Wagner,Tracy_Wagner@anderson-martin.com,10/09/1959,748809,Tracy,Wagner,19591009,748809,True
Eric West,Eric_West@fields-brewer.com,21-02-2014,59066,Eric,West,20140221,59066,False
Denise Harper,Denise_Harper@lyons.com,01/07/2005,3642836,Denise,Harper,20050107,3642836,False
Brianna Richards,Brianna_Richards@blevins.com,02-05-1967,784245,Brianna,Richards,19670205,784245,True
Shirley Garcia,Shirley_Garcia@byrd.com,1952-04-24,5999645,Shirley,Garcia,19520424,5999645,True
James Byrd,James_Byrd@andersen-nguyen.net,22-02-1975,64951,James,Byrd,19750222,64951,True
Krista Mata,Krista_Mata@hernandez-glenn.biz,2005-12-12,715047,Krista,Mata,20051212,715047,False
Vernon Gomez,Vernon_Gomez@brown.net,29-11-2000,25171,Vernon,Gomez,20001129,25171,True
John Gilbert,John_Gilbert@williams.net,1963/03/27,65006,John,Gilbert,19630327,65006,True
Alicia Medina,Alicia_Medina@carrillo-may.com,05/04/1966,77576,Alicia,Medina,19660504,77576,True
Vanessa Campbell,Vanessa_Campbell@martinez.biz,01-01-1969,5662427,Vanessa,Campbell,19690101,5662427,True
Pamela Berg,Pamela_Berg@robinson.com,2011-10-27,834261,Pamela,Berg,20111027,834261,False
Michael Reilly,Michael_Reilly@cooper.net,1972/05/14,33876967,Michael,Reilly,19720514,33876967,True
Thomas Austin,Thomas_Austin@kline.com,27-10-1972,83171,Thomas,Austin,19721027,83171,True
Lindsey Powers,Lindsey_Powers@dixon.net,1976/12/27,33441,Lindsey,Powers,19761227,33441,True
Jacqueline Sawyer,Jacqueline_Sawyer@ruiz-marshall.com,24-04-1957,207027,Jacqueline,Sawyer,19570424,207027,True
Nancy Wilkins,Nancy_Wilkins@webster.biz,28-12-2013,439839,Nancy,Wilkins,20131228,439839,False
Shane White,Shane_White@mccoy.biz,04/21/1996,8925435,Shane,White,19960421,8925435,True
Daniel Rivas,Daniel_Rivas@cain.net,2016/03/18,1239043,Daniel,Rivas,20160318,1239043,False
Andrew Medina,Andrew_Medina@taylor-campbell.biz,23-04-2004,6951680,Andrew,Medina,20040423,6951680,False
Donald Carson,Donald_Carson@robinson.com,01/17/1966,79831,Donald,Carson,19660117,79831,True
Jason Hamilton,Jason_Hamilton@lopez.net,2014/05/19,99086,Jason,Hamilton,20140519,99086,False
